userid,screenname,follower,friend
'958121068539064322,Jorge75495022,18,77
'2493997665,ell_fax,9,0
'975460459,Christi37666396,48,0
'1042993988,candysteph1,19,14
'1539345416,nataliegorge,16,0
'852684231473979392,MinhuaFeng,6,0
'1127943289,LFaske,28,0
'749442649,ValikGai,3,0
'277625486,L3nn0x137,49,0
'1649927018,zongo82,40,292
'211865305,ycao81,25,118
'514952602,xLeAd__ZoMb1ex,14,0
'3043546258,lucaspada03,69,0
'303587686,greizielleregua,218,0
'939401987493261316,xoghrnt1,34,0
'300864163,LanderAnt,89,0
'1219920756,JesseCavezza,89,0
'392469971,tkboy999,59,0
'625288755,keywest917,21,0
'2379941581,naoto12273945,5,41
'1928974117,XaveTeenLexie,26,0
'3128448025,Sydney792,72,0
'2864009559,zachyv2002,98,0
'940548120,10Apage,30,0
'740739774,44Chen,25,0
'2438928858,jeanetteAudley,135,0
'309702719,priyaamvada,8,0
'4197458233,david48422082,27,0
'3660445518,greenla3356,13,0
'138507975,jozzebarraza,59,0
'1191885709,yuhutu,4,4
'65663599,yandira84,12,0
'1891253851,muleke_oficial,56,0
'3304987219,BreannAlivia,18,0
'506514873,kakaw_karol,46,0
'1946831654,1094413976,15,0
'109189781,DirMilla,32,0
'416559380,ellistine2,29,419
'342017438,msgenti,37,0
'2401224332,qingqqqq,12,0
'72064315,Pasquale89,66,0
'985054298,1AndrAlexandra1,39,0
'490619716,ArkadiuszPrus,39,0
'470204324,TISEYKAREN,6,0
'1189811348,jeff8973,5,0
'701044580951543808,qinpengfootball,5,56
'381950693,DianDianviani,268,0
'188415550,mireillegauvin,50,0
'2198378239,p51682000,12,0
'558362386,wallawdaceda,22,0
'395954601,luke27286,16,0
'2786072912,wiisl3y64,25,0
'526583120,moo12sh,29,207
'118097558,toriawyard,13,0
'1413132050,wikly2815,5,0
'1405842168,NerviSylvie,5,0
'2569541346,bahtiyar3838,7,0
'3317551927,sandy168586,6,0
'1867639040,Haha792482833,9,0
'1912909891,TonyPhan_123,11,47
'1385964133,16cricketDamon,32,0
'2435193378,greenery01,3,4
'362655437,prestonautos,37,0
'185025490,MFachriii,240,0
'722236286,duoquintus23,6,0
'318265718,beerleee,6,0
'930106963098259456,RensVermeer23,18,0
'562843643,89_giorgia,32,0
'2309344927,LyXu1,4,97
'538665804,lovelykororo,1,3
'751350518,sagarkale14,15,0
'3042874674,imcpme,4,1
'24417847,tonihaba,8,0
'2196805454,Christin_mccall,59,0
'324903678,GretaKotrocz,3,0
'447920103,StevenChumbley,0,0
'2395488887,FeeGua,20,0
'180331172,hitahaiya,25,229
'4899425580,galaxy_wzj,11,0
'275791143,hk8002,4,0
'248030610,arben_dzaferi,117,155
'183557278,dheck029,12,7
'2176671728,Blizzard119,83,0
'165590348,mysterywon,28,0
'550412670,ChanceRathke94,9,0
'957474290,LZampi,65,562
'119565659,payelec35,14,0
'2230743913,YueLui,12,0
'2725237858,1684623808,10,0
'410789467,AnastasiaMitola,7,0
'20897436,Joanniiee,29,0
'943488004353548289,JIyCTun8UDjZS4T,12,0
'438073192,Mandykao1,15,0
'871901658560823297,Kydro_Gaming,1,0
'483334582,JFrischholz,5,0
'1875926508,bomberaulago,1,0
'1238842429,street_br1,78,0
'1464097129,Kalburighttorra,2,0
'366043219,andrea_racz_,88,0
'2563170300,visitnepal112,8,0
'925789759,juhyreka,10,0
'249058272,ranmaojie,15,0
'1601039724,guanjiewang1,25,0
'68250894,pro_evo_geo,20,0
'3087289052,Parmkan,12,0
'180891585,residualmm,30,6
'1518064478,VirgoTravie,12,0
'771811574,JatulitS,21,0
'4866941471,TinyTerrorGamin,233,0
'233572885,hanamishi00,14,0
'202069222,ankii13,22,0
'543284360,bow55555,11,0
'859574804633894912,MONTINNN,26,130
'1546448226,erika_norwood,59,0
'3266892732,hungchieh8,22,0
'263908225,basketjune,42,0
'3897588388,AudreyMA8,1,0
'494558876,lucasez61,16,118
'2709408690,vip75661,12,0
'2214210478,Zcx936101146,18,0
'391523621,bomyiii,44,0
'400161753,keeli4471,2,0
'932314057,kaori_midzu,43,0
'203771555,VinniGato,13,0
'2424978877,aires_eugnio,24,0
'227587117,bbuku99,11,4
'956072877312405504,ASV22740196,77,0
'171015800,gazagoyo,17,0
'534295377,Balashanmugam6,11,0
'1932700861,mr_ichiee,45,0
'1044059450,GiuseppeVivio,22,0
'2921664369,Proxy_Dario,16,0
'1319379482,TRehders,44,0
'366516473,dbsgur1202,24,0
'458251210,ozoosonamu,61,0
'514142883,MiltonViandre,23,0
'1664215976,654super,7,0
'166994670,Buki278,13,0
'972647448,NellWelch11,66,0
'484121922,sultansaam,10,0
'3076060392,SlusherFrog,29,0
'3077161031,burnyourtears66,13,0
'2716109978,hihibob21,40,381
'1106735065,gumimaciiiii,11,0
'591496968,jamesluisbardoc,7,0
'1620604945,Senatorcocoat,40,148
'1705589052,zinebbenhassen,50,328
'73301086,BoombaBoy,25,0
'771734584631369728,Orb1tDesigns,131,358
'262917251,samsaumatua,8,0
'2519816519,BlasCabaleiro,141,0
'4654649833,Lesliewnwang,6,0
'1223661354,Vororther,5,0
'2304927684,www45456w,20,0
'225497035,gabrielbm1946,59,0
'472621372,banpong1977,1,0
'2878777300,voltex232,45,0
'2665392019,ChavezRhoann,97,0
'2535391989,GggjjjrO,7,0
'812832042,n09061,61,0
'1887857604,_Can__,12,0
'391172852,26_ezrha,13,0
'804814092,Wendyrae44,30,0
'1380336116,Verorouss,2,0
'246566997,didomark,34,0
'1472193840,Prashan08816183,51,0
'4716534116,sunshin13400755,11,0
'3848174493,Pickles_lin,119,0
'724400641,Eva_Shepard1,295,0
'492277850,boringwufei,29,0
'709404905711095808,Gxc95,28,0
'716766680907522048,diego9566,42,0
'2865115003,gweiger486934,7,0
'276186133,danygermanoda,50,302
'548320930,js55368131,30,0
'2776078238,wtfsimida,14,62
'117266661,peeza1234,123,0
'568886907,JmzSierra,63,0
'2861680736,midwestgirl1970,225,0
'1484697542,BFatumia,24,0
'2905739773,cjlmpreston1,20,0
'143971737,huseyin340,61,0
'82100129,ROBERTOREZENDE7,74,0
'2853746353,668Kaixin,8,0
'44840279,LAAS1959,20,0
'2760475395,faded1996,9,0
'328901129,acoscker,2,0
'2370267517,Aliceyeq,10,0
'825355613127348226,527759269_dino,13,0
'277011404,JuanAmorim93,87,0
'210738701,izzatiazam86,52,0
'3233795124,Pierre_Der_Boss,14,0
'4774263200,cometozzm,2,0
'813508740288774145,murbach_v,52,0
'513164382,luck861106,6,0
'2366029264,KmoonAnna,22,0
'555858663,janemligja,21,0
'3385988907,kev11845,39,319
'1393607802,flor0503ok,24,0
'496276872,NinchenSchlumpf,50,0
'271768843,saiki_saiko,5,0
'743619437622812672,Coolgirlhsq,29,0
'18736284,conforto13,27,0
'2359083076,elygu14,86,539
'2344920546,roza00938,49,0
'631309818,viraaaaaaag02,21,0
'546665504,jackowenconnoll,18,0
'190690599,soniaferigato,27,0
'529079386,JJomMe55,53,0
'2942887685,leandro_lizard,10,9
'719084734,shozab335,8,0
'595299428,AshleePebbles,76,0
'3195899874,MATECommunicate,505,0
'3024375181,mrowe1956,53,0
'4225863492,worthington_jay,133,0
'4636506794,BAO_JUNKAI,15,0
'988953614,oil88343683,5,0
'1670249568,naitaame1,25,0
'2202658514,earisr,1,0
'1003838329,nui0722,15,0
'634367249,letaszitott,335,0
'1277986742,Ayub_DC,7,0
'443423065,MaatRezende,140,0
'1645194588,riznowart,13,0
'149822770,anitakhufailah,419,0
'476065505,DaniloBestbug,2,0
'314297080,damazzang80,11,0
'43065025,WaylonFrederick,133,0
'18638972,doreedamoulakis,55,0
'936036962317885440,cpringdance,9,0
'507659517,adricsek1,10,0
'2522362087,pimwan4313,5,0
'771970602,LorenzoEda,10,0
'2930884508,hjss0816,5,0
'1309495039,hai799,40,0
'584186932,AurelieDSJ,73,626
'790326757,RaycoEspadaR,38,0
'67900233,nikiszolnoki,12,0
'581836715,Asterion80,14,0
'532325981,DJEVINHO_PE,55,0
'1220661146,zzg520xiao,4,13
'2458829816,talhassanebarry,16,0
'201423290,BoRgEmEnKe21,21,0
'318117483,thqh63,8,0
'78855638,Irfan_panca,8,0
'2762554687,CioccoR,70,0
'2739808628,904826120,6,0
'156909477,fidisha,43,0
'606516364,sandrinepryde,24,0
'375639388,kjy216,12,6
'3265559510,xiaojan2,23,0
'1383259244,hiMia1,14,0
'143302096,okpocky307,5,0
'344396991,lleestone,72,0
'3299729261,493_092,16,0
'295172848,long_mac,6,0
'229367195,mini_tw,4,0
'1124469294,khang2902,21,0
'2222762821,biagiocapuano19,14,0
'378048227,ButterWithButte,0,0
'2833611282,oi0iOo,13,0
'1142282119,Ghx2pt,10,0
'387083053,jonelorza,39,559
'316947191,Hana_ca,95,0
'732326986304094208,dum_dumitrita,3,0
'1510513219,selvapriyaa,49,671
'3032499192,seangyy,10,0
'447351638,necmetinaladag,23,273
'3957807376,stalkerpro33pa2,21,0
'759705614788333569,HardEmotiion,10,0
'116552222,caribbean4life,53,0
'334780464,the_belieber95,12,0
'2435554783,batekmilan,8,0
'756183944278577152,malinuu6,20,0
'743318016,fawadahmadkhan4,22,2
'958781511431532545,SimpleEdibles,248,0
'1907893790,AurelieSai,13,148
'279141554,Gaby5444,1,0
'452413886,zugolini,12,0
'1284760135,journeydog131,33,0
'2907670136,tylerjt4321_jt,70,0
'448879564,ZadnicaKim,141,0
'4787506513,MrMengbin,43,0
'2623178301,TamyPolett,31,0
'1107521780,annnina99,70,0
'518452627,PutriRoseAgusti,2,0
'585029056,CheesyYummy,30,0
'1326189956,xxxifanzhen,18,0
'535163345,delorduraku,13,0
'1105679408,MateMester,8,0
'2980827568,laura_gombos,8,0
'207409495,icepa77,20,146
'2494796268,PeppeeAnny,5,0
'1965529621,iwillbeyourhom1,6,0
'28411986,KennyCoates,217,0
'211749533,Golila007,1,0
'590202168,ImenFouli,3,0
'480762373,2020ahAh,38,0
'1073784342,Tammykaaa,0,0
'81529079,putra_cah,133,0
'1962416017,TJALAJOR,41,0
'3836779816,indraeslash,66,0
'210750171,riffraffratbag,38,0
'610999235,mongati,17,0
'2534711716,milchreis07,6,0
'267740310,miraadenisee290,27,0
'240023160,producedbytones,45,0
'143626769,oidojmatheus,395,0
'894822505,RubyJewby,10,0
'2496748727,kekouss82,5,0
'2795926550,FireWinner9,7,0
'297359649,punk28es,19,0
'1503407317,437128389,18,0
'391327278,evancasino,45,0
'891446371,JenniferRuiter,15,0
'203959982,maxi87anti,11,0
'1616390708,JordanBabe246,3,0
'201605375,Terry_ayo,21,0
'1069017512,LisaMoep,7,0
'2688440975,ghigorduarte1,28,0
'2251939562,betospanhol,61,0
'2299813164,2K_Toey,70,0
'427641835,yrih2515,0,0
'249956517,myonhagi5188,24,0
'1154972316,MargotLefevre1,18,0
'1913875627,OXJERVIS,4,0
'2412633928,CPkozdi,1,1
'2705322804,maxLimitez,52,0
'429028713,az0311az,59,0
'134806988,leonagarciaa,191,0
'326709541,hendergray1,14,0
'1910601966,valaki1231,142,0
'2238635030,apmarcin,46,0
'229895715,nagrehh,51,0
'551196396,dance_alina,3,0
'731739080732483584,graceforsyth675,13,0
'819844279,pedro27244,63,0
'544749962,DaneeHsiao,21,0
'1314935982,Rwinzou,65,0
'514650927,Merdakamil,23,0
'2203815172,13Samina,45,0
'167582286,networking4afri,29,0
'448926711,loacher_wy,24,25
'551244969,ghostsofus,38,0
'2406277802,BestySpectol,7,0
'625235469,RubenOlmo1993,282,330
'1596340152,markrawcky,43,0
'1524639421,uzer461,19,0
'249939069,78BeBe,10,0
'425651560,CohendetHugo,28,0
'54931938,kananilam,13,0
'1295619283,erpiuermeglio,5,0
'293844167,poilblan,6,0
'2233877317,sroger1979,13,35
'742121183362076672,tailortay14,9,0
'543962116,smithwilson12,16,0
'2602625672,BowieYby,8,0
'2875464454,ar_nuss,9,0
'605412150,zhao_xiangyi,19,0
'712548892,DenisGrom38,87,0
'865647504,kyle17329,26,0
'155524411,braylen580,6,0
'1349344790,PamelaMallette,152,0
'299302109,omranbaadr,3,0
'3244703561,Maxjarvis13mil,10,0
'803881017589334016,al_adamovvv,92,0
'733675092,kaylamarie_1995,31,174
'341332602,cytkatie,18,0
'910878693479903232,dana_schoonover,58,0
'2298726172,zhuzhu_orz,8,50
'500286835,rlsteele21,20,0
'294459580,Chanchonas_YyP,63,0
'723269256,renemulpad,6,0
'2240613146,minwoo87915,30,0
'310027944,WadeDoorider,12,8
'2362099201,dudwo8811,11,0
'469727400,rich1bray,17,0
'559650422,mehmet0980,22,0
'1162636550,jithinsrr93,5,0
'974340685,MakhortovaLana,36,0
'1908785396,MarekSolich,38,0
'820140984,Mattisberg1,60,0
'1889359964,BonsomsCristian,62,183
'831469922,robertogarieri,9,0
'334488570,otc3574,6,0
'1065586770,wkarolcia87,13,0
'1488082736,Tstorkman,13,0
'731865479275380736,andymk99,16,0
'125903964,scorpion_309,44,0
'2402807700,p3270452,5,0
'71236820,barao44,29,0
'290268638,Trollface13,25,0
'330822789,kecsks,9,0
'584681437,pystike01,21,0
'566489029,Mel_minha_diwa,18,0
'127496834,RAJESH_OO7,40,0
'557810114,ylc5682000,14,0
'1210855075,emmajulian2,13,0
'2569469478,tiagoibraim1,29,0
'1322187607,1101418825,17,0
'736526178295500800,JKing3077,10,0
'805126350386380800,diego_reato,2,0
'1101406782,jyhong0630,7,0
'389107761,dilyannal,54,0
'748542866,wing0829,23,0
'763431591339171840,KirbyPeres,8,0
'734504779334836225,Themustyrabbit,36,0
'2473489140,992492833,13,0
'534503420,Jcathely,54,0
'442226887,Bloodhavenx,90,0
'3175903927,iFAFlz69VZFdyRa,10,0
'300552201,eddymac2005,26,0
'177478242,FERNANDO_CANDID,25,0
'1422738612,Cieoiie,2,0
'107136284,perrythevery,82,620
'2221898149,irinabubnevica,16,0
'556566698,garyfits13,15,0
'233777086,19sully95,15,0
'594085133,lovinmine_2012,21,0
'1200990336,denisecrawfor18,18,0
'1521714866,roccodisanti55,52,0
'2655760853,MocnyFull15,8,0
'617544255,louhazniamzayn,10,74
'357334656,LeeTszWaiJohn,17,0
'2461787377,vitkfong,27,0
'962655770654453760,JorgeXqdl,28,0
'1619598193,AdanDiaz97,11,0
'3436620850,QRa1TPuWNSSbNDK,83,0
'208382990,inoue_cnc,272,0
'895922257,AgentZann,15,0
'2745087540,edgebaston36,29,0
'401888457,histtrtl,14,0
'1612394714,Echirough,2,2
'2385643463,rodrigolhpjove,55,0
'2242707957,simone_pumar,13,0
'920701934,EricaBraiato,24,121
'240357058,ryo_yoshimatsu,11,0
'594263079,SousouCroissant,7,0
'550290093,sergiolacruzL,54,0
'2650756538,1017148043,52,0
'3046232288,EfeogluBurhan,45,0
'1215432763,Karim_AkaKrim,7,6
'234386626,oetsuganba,10,0
'121979113,trinhtrinh31,34,0
'2228269406,Jennyxiongqian,6,0
'390547619,poomy3,11,0
'1738801164,TidyHeidis,47,0
'404077137,hoony4967,35,221
'908688424156254209,PIPPO99399085,10,73
'1365913652,dashengjianjiao,9,0
'4740581652,brookemilton31,35,0
'4258530622,SHENYUANWONG,18,0
'1524874524,jasongaines8,89,575
'915593583003967488,MichaelLoo23,3,0
'2158833536,EqUippz,3,0
'912315463,rudeboyzcrew,6,0
'913211966600155137,Charlamangez,32,0
'948641801438744576,MarcinW99448955,10,0
'483250754,tomjohnstone3,5,0
'906987047004655619,Steven29704480,2,0
'4783320393,942178851Yiqi,13,0
'3043905991,Duang199971,15,0
'408464822,jake2083,5,0
'1220270732,PraewPraewchud,14,77
'2371724346,danasona1,26,0
'2157322806,NahuelaT,9,0
'1404659383,a12343230,13,0
'2882336160,fvkiyoe,10,0
'741925344085704704,bogdanova0110,12,0
'2658554036,albrechtbrickel,0,0
'2601108878,zoeozoeoz,6,0
'1020475303,angelogala80,42,0
'1064712212,504justin25,41,0
'2587640803,Cash1121,4,0
'436296702,iuw3qjgkqn3g983,74,514
'1272652910,Foxccer,23,0
'759528516,Kacper274,36,0
'192774848,thithuysan,21,0
'793882140937191424,AbkBoukfilene,39,0
'810188891022065664,PowerHouse_HD_1,6,0
'403154026,CarolainAlmagia,16,0
'2472933781,TheoSimply57,16,0
'516167983,officepool641,15,0
'2569389036,Gamerl2p,38,0
'240529343,skaalrud82,16,74
'860101574,CeSerge,15,0
'2859017292,thewvrld,5,0
'3049530468,Rujspon,9,0
'1533747122,otonielreeis,2,96
'1215844993,JaninaWolf,21,0
'2217471659,n_tagg,19,0
'499981279,_2126518519111,15,0
'2969290828,gzqyfyhy,15,0
'773496515079864320,LauXyDORMAN,3,0
'326121263,deisi338,26,0
'4788028154,delhi_sacac,67,0
'602296200,AlasiaTrichon,7,0
'2155357980,trollolollollll,23,905
'483296337,MotoDevilpup,31,0
'909116832019357696,prizrakxone,42,0
'3115192356,cymbbxwsxl,15,0
'569752581,ymhigh66,50,0
'2256995830,julia_cara11,50,0
'2765294633,VTriquet,63,0
'1532898176,eebbooni1,1,2
'529501324,richvine223,168,0
'174060410,SamiH86,40,0
'1567500734,287951940,15,0
'3346104854,__m__i__t,56,0
'516541822,nononathy,9,0
'2470273897,xHoodie,38,231
'4766002652,Cplatt608,27,342
'1217650676,esragms86,62,293
'1385850330,ambrosiomateus_,66,71
'1422767730,sinwc0107,24,0
'302703734,MazzaCat68,65,0
'179100463,madoka0801,12,0
'2919549670,remarch1,1,0
'816377569,JosephCrowe6,53,332
'765037530,654186126,4,0
'762499825543766018,Miner_Ajane,3,0
'4557519283,jackykoo7,5,0
'2213033046,angelsolitarysC,58,0
'410126336,mhawej,10,0
'4709379733,iiiiiirimi,22,0
'1512519738,2888918,30,0
'263613466,Jay87_1,66,0
'2825953180,Ippimusic,32,0
'852248141940359172,SweetSwirlsRIC,394,0
'2382405217,krisztikena,3,0
'2326430353,oylr22,15,1
'975397410,irwan91466145,17,0
'314326955,tambraelies,53,0
'2995975682,xts990526,12,0
'1860962041,miss_yulashka86,8,0
'868482634237698048,Liveinlivin1,9,0
'355866773,MandzarR,53,0
'2430222788,kinghuangxue123,7,0
'758096042244050944,chami060479,8,0
'942463698643406853,Jakubkolendadow,9,0
'609037957,borbalas,11,0
'872247899438145537,sonia_ryck,29,0
'480642035,ssh5953,19,0
'4440040274,hchen3321,17,0
'1298050436,dim821113,25,0
'767177038419472385,gyl0410,21,0
'400202192,topojeantt,18,0
'1913790902,804572006,17,0
'36835305,RayWeber,15,0
'22701363,Ray_h,137,0
'942552074054701056,Frankli61272627,42,0
'2383468159,minsu1000up,7,0
'1348338703,Risghaninai,13,0
'534038900,iiilog,4,0
'1583186894,monikakral1,11,0
'358938799,Gillivreparavoa,47,0
'1706573761,Sara96692503,14,0
'3300189187,Hin_Mark,29,0
'295527088,hwajin2139,67,0
'4858325391,ZapelliAgnes,0,0
'743420996,JosefBartusek,7,0
'1634317417,GabrielElConcha,47,0
'228658864,5zone,43,257
'114428014,caqatay_06,12,0
'1437705907,BELIEBERGUQIAN,13,0
'297739363,adilson_mi,24,0
'2376548219,MaziereCorentin,147,0
'891936762657943552,Krystia08865757,14,0
'489728651,Olgat20101,100,0
'3426952097,draven_r7,30,0
'903536178804260864,minimalapple,28,0
'721811168,alizafar85,28,57
'417236245,wngusxo0,18,0
'1563933325,IamBB2U,8,0
'556646242,FreshDude29,17,0
'2934937683,Om1963Mc,74,0
'2237523356,MSwain1977,34,40
'2363917775,AdryenTourneur,22,0
'2208052035,kingjvmvs,77,473
'1121230574,ZeroDuckMAN1,10,0
'244315276,FutbolerongBoy,90,201
'558597254,rocksland64,3,0
'1876355904,stewarty8710,103,0
'829916612,AbouBakrabedou,55,0
'871998242,RUS363110,48,235
'222196341,skehdntrhtlvek,2,0
'870180367,ErgnGrkem,66,305
'953338562866540544,BoltonCEF,81,0
'83189667,veralioe,7,0
'464535622,poussinette84,57,0
'312175004,AlexandreMende7,38,0
'3081955361,harryhakunamata,15,0
'318796497,RuthLewis841,24,0
'1858573122,ttoobbyy1996,10,0
'1316936107,bigbootysharon1,34,0
'239925790,barista_kim_,17,0
'709718550982889472,KolloBorbala,23,0
'334829551,Verolicious007,24,0
'346527397,shakwal26,7,12
'964871749,daniel07733883,60,0
'2600335633,galinagornobau_,39,0
'251721941,Kenny_Hansen,26,376
'1396524907,paruk012,43,0
'769027330467569665,you_obv_know,71,0
'949346660714471424,brennocfaqw,10,0
'857578889304039428,z_bloss,146,169
'482799861,BaronovaY,20,0
'704718091008266241,CanadianLizard,74,0
'2439693050,grzesiekb1,8,0
'633464483,jpg2738,20,0
'1867413962,FeketeHu,16,0
'3130807011,Zodiakedits,17,0
'707833806,justinjuckt,10,62
'631735279,siyetcora,105,0
'39568260,XxSexyxShonaxX,36,0
'3504440056,AlvarezElisaul,4,0
'576111476,Alex8Ovi,42,0
'352779388,JandreyBatista,83,0
'2213965237,Gone_Yang,13,0
'2783446452,adarionanada,0,0
'189284740,EmilyMulherin,38,160
'825245076,Fred101064,18,0
'1361277511,sminhua,27,0
'2527018741,Phoenixasd1,6,0
'393731774,morethanwelcolm,20,0
'534566237,Lery99,0,0
'3009713318,duck31001,51,0
'277330850,edieluv,6,0
'897397466122866688,boo_mcqueen,5,0
'981006780,C4rlosluis,14,0
'592576042,Gerardino15,18,0
'3295557976,Rolexy7,20,135
'118816265,matildahbieber,151,0
'2370294445,sunedack1,9,0
'2932482622,grazwe91,84,0
'305578448,jankyalli,9,0
'2958280735,barrylewiss,7,0
'49359625,eja43,15,0
'3254291902,Deutschrap140,27,128
'513564995,Giada_Caiazzo,10,0
'791790523,DianneSalva,21,0
'403219317,zerodase,5,0
'702800245,IrekChojnacki,3,0
'2277057458,julianodelaia,35,0
'859737324,ch0ran77,9,0
'119057654,okelephant,12,0
'4537533687,pasticciona03,63,0
'628187876,1159893594,19,0
'1245799310,Mselma1MARIA,7,0
'1170774948,mfsyahril,17,0
'1498489566,JeYo_Shop,146,0
'716992873,wooten_jamar,149,0
'787617920,famherrmann,40,0
'400327952,LucassPica,82,0
'1685783504,alohamier,10,9
'395335278,IpostS_W_A_G,120,0
'508365645,ChrisWithSwag,25,0
'343144103,kijaza,72,0
'1430229547,jayster1221,7,0
'214123469,Raxkyx,37,0
'297246061,mayurramkishor,57,0
'2832271429,afsarc5,41,0
'218600498,cariocadosamba,6,3
'963027789711577089,Obl_Lyre,2,0
'1179587814,wannabeatle1,55,0
'4508947344,MICscifield,20,0
'790690363857969152,TheOnlyOneDecay,14,0
'3300405558,KpopUnicornz,10,0
'513233392,Gustavinho_sul,26,0
'197254066,xXF3L1XXx,56,488
'90925810,me4evaXD,15,0
'1141366453,shonniew4,31,0
'47979384,anwaroz,25,0
'2474658531,369f5b00b047481,2,0
'570767722,zzx2012,48,0
'154275332,zulusambo,12,46
'263675855,michel230855,19,0
'239406414,antoniacollyer,46,408
'587871520,AugustSjodin,19,0
'2413757184,7428021629be47a,31,0
'1634856367,BobbHuang,7,0
'1320594830,jus3nnn,19,0
'1286348376,Falberto98,55,0
'332980921,FabioFrati,35,0
'3951969569,rebeldogg,46,0
'741595669,itsmychoises,139,885
'327037613,LORENANASSINI,4,0
'60358612,mummy2326,50,0
'610962527,annmariemurray6,24,0
'889044319,skarjsgml546,11,0
'782773562947964928,MarcRiboud,17,0
'487804549,culinarykatelyn,45,0
'914511675046408192,byBuddler,18,0
'495858836,RizkaPutla,12,0
'326667754,TevfikKarademir,17,0
'228623936,ihera79,4,0
'310008684,fahdboss,47,0
'2155020126,ibarra23115912,31,0
'1247497070,tumblrprobzzz,26,0
'609448779,ViragVivienn,21,0
'221859961,jullianasiii,8,0
'457875518,CLAIREGALL26,48,0
'113248678,HannaahhG,51,0
'436376161,cripler50,38,0
'384792528,brookanne1,8,0
'2468346388,gas_tu,39,0
'563903009,norbergkarin,4,0
'222780067,choryungrang,16,4
'2387728730,schlumpfyyyy,28,0
'2348871677,nahindeosee,32,0
'390634514,zhengyplei,6,0
'2437021600,FoodFashionIsms,19,0
'69673840,kayyydiamond,99,0
'475068384,493970240,17,75
'306055506,KovacKatia,11,0
'1320290094,Amanbharuka,23,0
'418214280,barbara_nava,8,0
'173814502,bbaraamaddo,12,0
'278101306,codmstj2002,112,443
'2383546818,bourli1,8,0
'842990708,DerstJan,5,0
'276966360,nuraeni_asti,24,0
'301779282,sjeongm0316,28,0
'224325924,jadhavaksh11,17,0
'1336557330,HYO214,11,0
'595644324,ManishCute20,138,1009
'2542034641,alhura402,21,0
'1390341918,mszmidt88,20,0
'2365260085,chanchinleon,17,23
'606546631,nickycho2,37,227
'2165508396,JennyDuMarce,14,0
'487376349,Bakoleonidasz,8,0
'510354952,manoharalle,13,10
'308386552,VidaMargit,15,0
'111912652,PabloNieto19,16,0
'1743123967,sunhuei5570,4,0
'767117358,RHCPRROOCCKK,7,0
'238326751,hobboya,8,0
'90410761,tigweldinggirl,62,359
'700821757,csr7797,2,0
'2794603078,imjunyuxi,9,0
'706438639,Jaymil_Robo28,27,0
'463744443,Mamrouj,7,9
'4687640791,BotanTanbo,4,0
'3012303658,YumeOkumura,26,0
'2966137545,SentryDevilss,19,0
'2767084251,julianfranco888,4,0
'381942359,MalaniVipul,9,122
'2912450659,cookycho,8,0
'1648693194,shyannpatrick5,37,0
'2888562688,SagginR,13,0
'2511785143,sunsunsunfree,11,0
'520745296,MrMrVans,13,0
'544130801,baolimeixue,18,0
'342381135,Camihabb,2,0
'743986680806334464,StephCZ,17,0
'827056885,hhl8511,38,174
'3285754868,nthetiteghost,46,0
'2576846040,chelseazdd9,19,0
'873029510,yoyoi8994,21,0
'818991260757266432,Agnesshaw15,15,0
'234320171,YahooWTF,13,0
'749543811391459328,Siuken_FUNg,44,0
'190920090,lullabye634,16,0
'1512121285,rociohidalgo93,24,0
'62383136,antchrishutch,47,0
'112070961,hoyhoylove,5,2
'2418326479,LEE_D80,39,0
'2752357182,hyjanexx,5,0
'728929418312212481,inman5015,11,0
'2726706736,Leo_brm75,21,0
'284841165,ivangomez97,4,0
'147696580,ictiber,89,0
'492181260,ssuanim82,3,0
'2676264251,JamieKosht,18,0
'2296242662,JoaHhhh2,13,0
'749423424,WALIDMTDOR1,4,0
'346647220,jaqui024,5,0
'701655600,davidfaro16,4,0
'3542675242,hheysenpai,28,0
'3034525731,KiVI163,8,0
'466368552,hk2124,42,0
'176186531,mistaZuLkhairi,58,0
'1640820918,oriansammi,14,0
'732123098,tanmaokai,9,0
'511126405,bertini_ale,22,0
'2378679169,bf70d6352449434,1,0
'1686384866,AshleeTse,25,0
'547935952,sebastiaodesant,23,0
'72880214,CASILNETO,26,0
'2733985288,nakulvikal,44,0
'376167750,LisaBaumgartne1,1,0
'442594548,SutteMotto,39,0
'367124933,duquinhajoao,26,0
'133892319,Haitham1984,21,0
'185008270,Base_Ball_Star,84,0
'2842786940,DimossD,6,0
'792313489,JAMESJh1082,50,0
'906521185902399488,dankuro596,23,0
'767008009444659200,panghonghao,24,0
'756419922,jerry_papson,11,0
'388321942,mchilds182,18,0
'501110683,charlottedespui,10,0
'968601428,rebike1002,48,0
'2580121488,2015Sir,5,0
'784347346268106752,Tan19974Tan1997,18,0
'596857985,zoubircommerce,38,391
'489556519,smileweihung,25,0
'940660763760488455,SeatGIANTSTL,38,0
'210610242,ShannaVerspreet,13,7
'2912881280,Mootry56,9,0
'2748511743,oTroyy,262,0
'312520238,teresia74,45,282
'3024567384,shainy62,8,0
'507417771,anselmopalcio,24,0
'403452983,FusionUpload,8,0
'2166878173,Boukhemisse,24,0
'71346492,Papo227,91,0
'35971790,jackieeeohh,89,0
'388148722,10004okkjs,7,0
'756229189,Muka_Rata,17,0
'713606728676290563,sozii_mind,5,0
'2530118719,RichelleSins,2,0
'486021151,TMassenzi,9,0
'220080863,silkshawls,6,0
